LLM,Total Codes,Correctness Rate (%),Avg Complexity,Total Complexity,Avg Maintainability Index,Avg LOC,Total LOC,Total LLOC,Total SLOC,Total Comments,Total Blank,Total Functions,Grade A,Grade B,Grade C,Grade D,Grade E,Grade F
O1-Mini-2024-09-12,874,68.88,11.21,8215,66.25,31.14,25907,22103,21599,1937,2513,1174,444,270,131,19,7,3
O1-Mini-2024-09-12 (easy),279,94.98,7.82,1423,73.21,12.88,3581,3177,3110,160,320,306,209,66,3,1,0,0
O1-Mini-2024-09-12 (medium),330,73.64,11.39,3566,64.72,30.35,9559,8096,7907,646,1068,515,144,119,60,6,1,0
O1-Mini-2024-09-12 (hard),265,35.47,13.55,3226,60.15,53.42,12767,10830,10582,1131,1125,353,91,85,68,12,6,3
O1-Preview-2024-09-12,880,55.57,11.51,7884,70.98,32.06,28113,23188,23009,2941,2872,1092,478,246,125,23,7,1
O1-Preview-2024-09-12 (easy),279,94.27,8.83,1157,79.99,12.11,3378,2997,2953,266,209,249,232,43,4,0,0,0
O1-Preview-2024-09-12 (medium),331,56.8,11.29,3421,68.41,30.74,10112,8470,8427,974,981,493,159,114,50,6,2,0
O1-Preview-2024-09-12 (hard),270,14.07,13.17,3306,64.75,54.36,14623,11721,11629,1701,1682,350,87,89,71,17,5,1
O3 (High),991,90.21,10.96,9819,79.73,40.83,36586,23823,23159,7314,6665,1552,513,322,132,20,4,0
O3 (High) (easy),321,99.38,6.29,1899,87.34,21.46,6481,4082,3949,1158,1265,448,242,76,3,0,0,0
O3 (High) (medium),371,92.72,11.45,3940,79.26,39.29,13516,8486,8254,2761,2446,603,167,144,57,2,1,0
O3 (High) (hard),299,77.26,15.92,3980,71.18,66.36,16589,11255,10956,3395,2954,501,104,102,72,18,3,0
O3-Mini-2025-01-31 (High),981,83.59,11.5,9963,78.36,47.18,40951,24904,24617,12933,4451,1364,503,284,153,30,9,2
O3-Mini-2025-01-31 (High) (easy),321,99.38,6.07,1850,85.98,19.99,6097,4104,4026,1344,852,440,239,80,2,0,0,0
O3-Mini-2025-01-31 (High) (medium),374,89.57,12.52,4219,77.29,48.09,16205,9315,9200,5582,1925,566,158,137,69,8,1,1
O3-Mini-2025-01-31 (High) (hard),286,58.04,17.38,3894,69.59,82.52,18649,11485,11391,6007,1674,358,106,67,82,22,8,1
O3-Mini-2025-01-31 (Low),940,79.26,10.24,8696,78.89,41.98,35683,21664,21384,11127,4091,1359,502,303,118,16,1,0
O3-Mini-2025-01-31 (Low) (easy),321,98.13,6.29,1925,83.72,21.02,6433,4518,4434,1306,855,444,236,82,3,0,0,0
O3-Mini-2025-01-31 (Low) (medium),368,80.71,11.54,3878,78.31,44.31,14888,8883,8783,4752,1766,572,165,137,60,6,0,0
O3-Mini-2025-01-31 (Low) (hard),251,52.99,13.98,2893,72.68,69.05,14362,8263,8167,5069,1470,343,101,84,55,10,1,0
O3-Mini-2025-01-31 (Med),959,82.9,11.06,9487,77.89,46.34,39807,23854,23583,12808,4537,1374,484,305,146,17,6,1
O3-Mini-2025-01-31 (Med) (easy),322,98.76,6.24,1892,83.66,20.36,6169,4289,4218,1275,823,440,242,76,4,0,0,0
O3-Mini-2025-01-31 (Med) (medium),373,87.4,12.29,4166,77.38,49.33,16722,9750,9632,5580,2037,563,149,145,72,4,3,0
O3-Mini-2025-01-31 (Med) (hard),264,57.2,15.88,3429,70.59,77.95,16916,9815,9733,5953,1677,371,93,84,70,13,3,1
O4-Mini (High),1047,87.97,12.33,11369,77.49,41.87,38894,28110,27671,7578,3937,1365,516,283,184,42,13,9
O4-Mini (High) (easy),321,98.75,6.07,1852,84.06,16.01,4898,3692,3649,693,542,439,251,64,5,1,0,0
O4-Mini (High) (medium),383,92.69,12.75,4437,79.1,37.25,12964,8976,8887,2609,1562,555,150,144,77,7,5,0
O4-Mini (High) (hard),343,72.59,18.88,5080,68.01,76.48,21032,15442,15135,4276,1833,371,115,75,102,34,8,9
O4-Mini (Low),1026,79.63,11.01,10070,78.6,39.18,35924,25276,24796,7297,4138,1389,534,294,161,31,6,0
O4-Mini (Low) (easy),322,98.14,6.06,1859,84.72,18.73,5749,4109,4014,944,806,442,249,68,5,0,0,0
O4-Mini (Low) (medium),383,86.16,12.27,4293,78.77,39.2,13721,9377,9219,2916,1719,565,164,141,67,11,0,0
O4-Mini (Low) (hard),321,53.27,15.19,3918,71.12,63.28,16454,11790,11563,3437,1613,382,121,85,89,20,6,0
O4-Mini (Medium),1038,85.84,11.81,10857,78.04,41.93,38659,27561,27156,7759,4039,1401,491,318,170,47,8,4
O4-Mini (Medium) (easy),322,98.76,6.1,1841,85.32,17.7,5346,3882,3812,830,679,437,244,74,3,1,0,0
O4-Mini (Medium) (medium),381,92.65,12.62,4406,78.51,40.41,14145,9699,9610,2991,1663,561,133,163,71,12,2,0
O4-Mini (Medium) (hard),335,65.67,17.2,4610,69.23,70.99,19168,13980,13734,3938,1697,403,114,81,96,34,6,4
OpenCodeReasoning-Nemotron-1.1-32B,1034,79.11,14.03,12540,54.71,34.15,33703,29731,29313,13,4381,1440,465,286,201,57,18,7
OpenCodeReasoning-Nemotron-1.1-32B (easy),319,99.06,7.33,1832,66.54,14.03,4476,4060,4021,4,452,385,242,60,16,1,0,0
OpenCodeReasoning-Nemotron-1.1-32B (medium),376,84.31,13.65,4765,53.71,31.25,11405,9988,9846,6,1555,590,141,144,76,11,4,0
OpenCodeReasoning-Nemotron-1.1-32B (hard),339,54.57,20.15,5943,43.48,58.82,17822,15683,15446,3,2374,465,82,82,109,45,14,7
OpenReasoning-Nemotron-32B,1046,81.55,14.57,13365,53.68,36.35,36167,31929,31497,28,4657,1533,449,276,223,72,20,6
OpenReasoning-Nemotron-32B (easy),321,98.75,7.56,1928,65.57,14.22,4507,4077,4027,11,472,389,241,67,10,2,0,1
OpenReasoning-Nemotron-32B (medium),379,87.6,14.03,4952,52.99,32.51,11900,10402,10288,16,1607,579,126,140,96,13,4,0
OpenReasoning-Nemotron-32B (hard),346,58.96,20.99,6485,42.41,63.33,19760,17450,17182,1,2578,565,82,69,117,57,16,5
QwQ-32B-Preview,813,64.82,11.48,7968,70.62,31.35,25271,19868,19581,2645,3385,1278,422,256,118,17,0,0
QwQ-32B-Preview (easy),276,95.65,7.9,1422,77.69,16.63,4589,3519,3482,525,630,311,219,51,5,1,0,0
QwQ-32B-Preview (medium),319,67.71,12.11,3707,69.26,32.14,10187,8046,7929,1052,1367,547,130,125,56,8,0,0
QwQ-32B-Preview (hard),218,21.56,13.65,2839,63.33,49.27,10495,8303,8170,1068,1388,420,73,80,57,8,0,0
QwQ-32B_temp,964,80.39,13.25,10053,66.6,32.66,31352,25789,25494,2210,4099,1344,472,282,175,27,5,3
QwQ-32B_temp (easy),321,99.38,8.94,1376,74.14,13.57,4357,3734,3680,271,458,289,264,51,6,0,0,0
QwQ-32B_temp (medium),368,86.96,13,4380,65.8,32.28,11781,9651,9594,799,1571,581,145,135,80,6,1,1
QwQ-32B_temp (hard),275,49.45,16.03,4297,58.83,55.53,15214,12404,12220,1140,2070,474,63,96,89,21,4,2
QwQ-Max-Preview,875,80.46,14.45,9150,66.67,34.18,29464,24101,23742,2442,3601,1129,443,236,155,29,9,3
QwQ-Max-Preview (easy),279,98.57,9.27,1131,75.97,13.58,3774,3176,3111,310,382,245,237,39,3,0,0,0
QwQ-Max-Preview (medium),330,88.48,13.75,3685,65.94,31.78,10360,8424,8337,796,1340,475,140,123,62,3,2,0
QwQ-Max-Preview (hard),266,51.5,17.84,4334,57.56,59.42,15330,12501,12294,1336,1879,409,66,74,90,26,7,3
Qwen2-Ins-72B,709,30.47,10.53,4695,65.44,19.23,13286,11287,11101,432,1735,875,487,173,47,2,0,0
Qwen2-Ins-72B (easy),237,63.71,8.94,948,72.27,11.08,2627,2319,2288,89,253,207,207,26,3,1,0,0
Qwen2-Ins-72B (medium),279,21.51,10.6,2162,63.32,19.44,5346,4564,4493,147,712,393,172,87,20,0,0,0
Qwen2-Ins-72B (hard),193,2.59,11.65,1585,59.58,29.68,5313,4404,4320,196,770,275,108,60,24,1,0,0
Qwen2.5-Coder-Ins-32B,658,51.52,8.68,4992,71.49,24.84,16094,12550,12277,1093,2767,1008,425,185,46,2,0,0
Qwen2.5-Coder-Ins-32B (easy),234,87.61,7.02,1172,78.68,15.37,3551,2770,2699,259,599,286,192,39,2,1,0,0
Qwen2.5-Coder-Ins-32B (medium),263,46.77,8.89,2268,69.4,25.29,6600,5104,4989,456,1174,444,153,87,23,0,0,0
Qwen2.5-Coder-Ins-32B (hard),161,6.83,10.14,1552,64.3,38.1,5943,4676,4589,378,994,278,80,59,21,1,0,0
Qwen2.5-Coder-Ins-7B,709,34.13,9.08,3941,72.5,20.25,14356,11356,11021,1119,2228,817,548,133,25,2,1,0
Qwen2.5-Coder-Ins-7B (easy),238,68.07,8.36,953,79.02,14.22,3384,2612,2534,337,514,221,204,32,2,0,0,0
Qwen2.5-Coder-Ins-7B (medium),279,26.52,9.26,1880,69.3,20.71,5779,4674,4527,402,858,385,202,60,16,1,0,0
Qwen2.5-Coder-Ins-7B (hard),192,3.12,9.47,1108,69.04,27.05,5193,4070,3960,380,856,211,142,41,7,1,1,0
Qwen2.5-Ins-32B,713,47.55,8.37,5309,68.12,22.14,15630,12623,12318,824,2540,1098,456,203,52,1,1,0
Qwen2.5-Ins-32B (easy),238,86.13,6.54,1164,76.62,13.97,3296,2582,2492,251,566,290,196,39,3,0,0,0
Qwen2.5-Ins-32B (medium),279,41.58,8.87,2367,65.61,22.6,6237,5022,4922,300,1027,461,163,92,23,1,0,0
Qwen2.5-Ins-32B (hard),196,9.18,9.41,1778,61.33,31.43,6097,5019,4904,273,947,347,97,72,26,0,1,0
Qwen2.5-Ins-72B,713,49.51,8.26,4917,73.25,23.22,16485,12668,12425,1277,2839,1024,484,192,36,0,1,0
Qwen2.5-Ins-72B (easy),238,88.66,7.04,1035,83.34,14.11,3358,2505,2465,381,520,254,202,34,2,0,0,0
Qwen2.5-Ins-72B (medium),279,45.88,8.78,2318,70.15,23.96,6637,5080,4987,498,1177,454,172,87,19,0,1,0
Qwen2.5-Ins-72B (hard),196,7.14,8.5,1564,65.33,33.28,6490,5083,4973,398,1142,316,110,71,15,0,0,0
Qwen2.5-Ins-7B,712,30.06,9.31,4271,72.49,17.74,12595,10432,10312,714,1576,831,518,158,32,2,2,0
Qwen2.5-Ins-7B (easy),238,58.4,8.36,936,81.19,10.11,2405,2077,2049,164,195,215,209,26,2,0,1,0
Qwen2.5-Ins-7B (medium),278,25.18,9.73,2015,68.68,18.77,5217,4352,4299,251,668,379,183,78,15,2,0,0
Qwen2.5-Ins-7B (hard),196,2.55,9.43,1320,67.25,25.63,4973,4003,3964,299,713,237,126,54,15,0,1,0
Qwen3-235B-A22B,1054,80.46,13.52,11610,66.93,37.08,37452,29657,29212,3526,5103,1434,506,296,199,34,11,8
Qwen3-235B-A22B (easy),322,99.07,8.1,1483,75.71,14.31,4580,3722,3658,370,567,319,259,57,5,1,0,0
Qwen3-235B-A22B (medium),383,88.77,13.15,4772,65.82,34.43,12877,10365,10242,1020,1755,597,144,141,86,8,3,1
Qwen3-235B-A22B (hard),349,54.15,17.11,5355,59.32,63.28,19995,15570,15312,2136,2781,518,103,98,108,25,8,7
XBai-o4-medium,1054,80.17,12.54,10285,64.8,33.48,34652,29125,28611,2328,3994,1428,554,288,177,31,3,1
XBai-o4-medium (easy),322,98.76,8.59,1271,73.25,12.26,3934,3447,3397,201,351,285,280,39,3,0,0,0
XBai-o4-medium (medium),383,90.08,12.01,4143,63.93,30.11,11441,9570,9430,694,1403,583,169,138,67,9,0,0
XBai-o4-medium (hard),349,52.15,14.9,4871,57.68,57.72,19277,16108,15784,1433,2240,560,105,111,107,22,3,1
